"MPID","Name","Name_GD","Name_OP","Party.Name","PC_Ever","Reform_Ever","CdnAlliance_Ever"
NA,"John Wise","WISE, John",NA,"Progressive Conservative Party",1,0,0
NA,"Roch Lasalle","LASALLE, Roch",NA,"Progressive Conservative Party",1,0,0
NA,"Melbourne Gass","GASS, Melbourne",NA,"Progressive Conservative Party",1,0,0
NA,"George Hees","HEES, George",NA,"Progressive Conservative Party",1,0,0
NA,"Lee Clark","CLARK, Lee",NA,"Progressive Conservative Party",1,0,0
NA,"Gordon Gilchrist","GILCHRIST, Gordon",NA,"Progressive Conservative Party",1,0,0
NA,"Lorne Greenaway","GREENAWAY, Lorne",NA,"Progressive Conservative Party",1,0,0
NA,"Lorne Mccuish","MCCUISH, Lorne",NA,"Progressive Conservative Party",1,0,0
NA,"Pat Nowlan","NOWLAN, Pat",NA,"Progressive Conservative Party",1,0,0
NA,"Gus Mitges","MITGES, Gus",NA,"Progressive Conservative Party",1,0,0
NA,"Tom Cossitt","COSSITT, Tom",NA,"Progressive Conservative Party",1,0,0
NA,"Marcel Lambert","LAMBERT, Marcel",NA,"Progressive Conservative Party",1,0,0
NA,"Jennifer Cossitt","COSSITT, Jennifer",NA,"Progressive Conservative Party",1,0,0
NA,"Otto Jelinek","JELINEK, Otto",NA,"Progressive Conservative Party",1,0,0
NA,"Howard Crosby","CROSBY, Howard",NA,"Progressive Conservative Party",1,0,0
NA,"Vince Dantzer","DANTZER, Vince",NA,"Progressive Conservative Party",1,0,0
NA,"Walter Baker","BAKER, Walter",NA,"Progressive Conservative Party",1,0,0
NA,"Michael Wilson","WILSON, Michael",NA,"Progressive Conservative Party",1,0,0
NA,"Jack Ellis","ELLIS, Jack",NA,"Progressive Conservative Party",1,0,0
NA,"Jack Shields","SHIELDS, Jack",NA,"Progressive Conservative Party",1,0,0
NA,"Lincoln Alexander","ALEXANDER, Lincoln M.",NA,"Progressive Conservative Party",1,0,0
NA,"Sinclair Stevens","STEVENS, Sinclair",NA,"Progressive Conservative Party",1,0,0
NA,"John Crosbie","CROSBIE, John C.",NA,"Progressive Conservative Party",1,0,0
NA,"James Mcgrath","MCGRATH, James A.",NA,"Progressive Conservative Party",1,0,0
NA,"Paul Dick","DICK, Paul",NA,"Progressive Conservative Party",1,0,0
NA,"John Thomson","THOMSON, John",NA,"Progressive Conservative Party",1,0,0
NA,"Lloyd Crouse","CROUSE, Lloyd R.",NA,"Progressive Conservative Party",1,0,0
NA,"Pat Carney","CARNEY, Pat",NA,"Progressive Conservative Party",1,0,0
NA,"Len Gustafson","GUSTAFSON, Len",NA,"Progressive Conservative Party",1,0,0
NA,"Perrin Beatty","BEATTY, Perrin",NA,"Progressive Conservative Party",1,0,0
NA,"Walter Dinsdale","DINSDALE, Walter",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Howie","HOWIE, J. Robert",NA,"Progressive Conservative Party",1,0,0
NA,"Walter Mclean","MCLEAN, Walter",NA,"Progressive Conservative Party",1,0,0
NA,"John Kushner","KUSHNER, John",NA,"Progressive Conservative Party",1,0,0
NA,"John Bosley","BOSLEY, John",NA,"Progressive Conservative Party",1,0,0
NA,"John Fraser","FRASER, John A.",NA,"Progressive Conservative Party",1,0,0
NA,"Ray Hnatyshyn","HNATYSHYN, Ray",NA,"Progressive Conservative Party",1,0,0
NA,"John Macdougall","MACDOUGALL, John A.",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Coates","COATES, Robert C.",NA,"Progressive Conservative Party",1,0,0
NA,"Thomas Michael Mcmillan","MCMILLAN, Thomas Michael",NA,"Progressive Conservative Party",1,0,0
NA,"Scott Fennell","FENNELL, Scott",NA,"Progressive Conservative Party",1,0,0
NA,"John Mcdermid","MCDERMID, John",NA,"Progressive Conservative Party",1,0,0
NA,"Tom Siddon","SIDDON, Tom",NA,"Progressive Conservative Party",1,0,0
NA,"Mike Forrestall","FORRESTALL, Mike",NA,"Progressive Conservative Party",1,0,0
NA,"Ron Huntington","HUNTINGTON, Ron",NA,"Progressive Conservative Party",1,0,0
NA,"Stan Darling","DARLING, Stan",NA,"Progressive Conservative Party",1,0,0
"MP466","Louis Plamondon","PLAMONDON, Louis",NA,"Progressive Conservative Party",1,0,0
"MP59","Bernard Valcourt","VALCOURT, Bernard","Bernard Valcourt","Progressive Conservative Party",1,0,0
"MP679","Rob Nicholson","NICHOLSON, Rob","Rob Nicholson","Progressive Conservative Party",1,0,0
NA,"Al Girard","GIRARD, Al",NA,"Progressive Conservative Party",1,0,0
NA,"Alan Redway","REDWAY, Alan",NA,"Progressive Conservative Party",1,0,0
NA,"Alex Kindy","KINDY, Alex",NA,"Progressive Conservative Party",1,0,0
NA,"Allan Pietz","PIETZ, Allan",NA,"Progressive Conservative Party",1,0,0
NA,"Ricardo Lopez","LOPEZ, Ricardo",NA,"Progressive Conservative Party",1,0,0
NA,"Andre Bissonnette","BISSONNETTE, Andre",NA,"Progressive Conservative Party",1,0,0
NA,"Andre Harvey","HARVEY, Andre",NA,"Progressive Conservative Party",1,0,0
NA,"Andre Plourde","PLOURDE, Andre",NA,"Progressive Conservative Party",1,0,0
NA,"Andree Champagne","CHAMPAGNE, Andree P.",NA,"Progressive Conservative Party",1,0,0
NA,"Andrew Witer","WITER, Andrew",NA,"Progressive Conservative Party",1,0,0
NA,"Anne Blouin","BLOUIN, Anne",NA,"Progressive Conservative Party",1,0,0
NA,"Francois Gerin","GERIN, Francois",NA,"Progressive Conservative Party",1,0,0
NA,"Aurele Gervais","GERVAIS, Aurele",NA,"Progressive Conservative Party",1,0,0
NA,"Barbara Mcdougall","MCDOUGALL, Barbara",NA,"Progressive Conservative Party",1,0,0
NA,"Gabriel Desjardins","DESJARDINS, Gabriel",NA,"Progressive Conservative Party",1,0,0
NA,"Gabriel Fontaine","FONTAINE, Gabriel",NA,"Progressive Conservative Party",1,0,0
NA,"Barry Moore","MOORE, Barry",NA,"Progressive Conservative Party",1,0,0
NA,"Barry Turner","TURNER, Barry",NA,"Progressive Conservative Party",1,0,0
NA,"Robert De Cotret","DE COTRET, Robert",NA,"Progressive Conservative Party",1,0,0
NA,"Benoit Bouchard","BOUCHARD, Benoit",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Attewell","ATTEWELL, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Ken James","JAMES, Ken",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Lesick","LESICK, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Tupper","TUPPER, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Gilbert Chartrand","CHARTRAND, Gilbert",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Brisco","BRISCO, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Hicks","HICKS, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Horner","HORNER, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Layton","LAYTON, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Pennock","PENNOCK, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bob Porter","PORTER, Bob",NA,"Progressive Conservative Party",1,0,0
NA,"Bobbie Sparrow","SPARROW, Bobbie",NA,"Progressive Conservative Party",1,0,0
NA,"Brian White","WHITE, Brian",NA,"Progressive Conservative Party",1,0,0
NA,"Guy St-Julien","ST-JULIEN, Guy",NA,"Progressive Conservative Party",1,0,0
NA,"Bud Jardine","JARDINE, W.R. Bud",NA,"Progressive Conservative Party",1,0,0
NA,"Carole Jacques","JACQUES, Carole",NA,"Progressive Conservative Party",1,0,0
NA,"Charles-Eugene Marin","MARIN, Charles-Eugene",NA,"Progressive Conservative Party",1,0,0
NA,"Charles Hamelin","HAMELIN, Charles",NA,"Progressive Conservative Party",1,0,0
NA,"Charles Mayer","MAYER, Charles",NA,"Progressive Conservative Party",1,0,0
NA,"Claude Lanthier","LANTHIER, Claude",NA,"Progressive Conservative Party",1,0,0
NA,"Claudy Mailly","MAILLY, Claudy",NA,"Progressive Conservative Party",1,0,0
NA,"Clement Cote","COTE, Clement M.",NA,"Progressive Conservative Party",1,0,0
NA,"Morrissey Johnson","JOHNSON, Morrissey",NA,"Progressive Conservative Party",1,0,0
NA,"Reg Stackhouse","STACKHOUSE, Reg",NA,"Progressive Conservative Party",1,0,0
NA,"Darryl Gray","GRAY, Darryl L.",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Guy Guilbault","GUILBAULT, Jean-Guy",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Luc Joncas","JONCAS, Jean-Luc",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Pierre Blackburn","BLACKBURN, Jean-Pierre",NA,"Progressive Conservative Party",1,0,0
NA,"Jean Charest","CHAREST, Jean J.",NA,"Progressive Conservative Party",1,0,0
NA,"David Daubney","DAUBNEY, David",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Toupin","TOUPIN, Robert",NA,"Progressive Conservative Party",1,0,0
NA,"Mary Collins","COLLINS, Mary",NA,"Progressive Conservative Party",1,0,0
NA,"Roch La Salle","LA SALLE, Roch",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Caldwell","CALDWELL, Jim",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Edwards","EDWARDS, Jim",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Jepson","JEPSON, Jim",NA,"Progressive Conservative Party",1,0,0
NA,"Dennis Cochrane","COCHRANE, Dennis H.",NA,"Progressive Conservative Party",1,0,0
NA,"George Minaker","MINAKER, George",NA,"Progressive Conservative Party",1,0,0
NA,"Monique Landry","LANDRY, Monique",NA,"Progressive Conservative Party",1,0,0
NA,"Shirley Martin","MARTIN, Shirley",NA,"Progressive Conservative Party",1,0,0
NA,"Joe Price","PRICE, Joe",NA,"Progressive Conservative Party",1,0,0
NA,"Don Ravis","RAVIS, Don",NA,"Progressive Conservative Party",1,0,0
NA,"Richard Grise","GRISE, Richard",NA,"Progressive Conservative Party",1,0,0
NA,"Edouard Desrosiers","DESROSIERS, Edouard",NA,"Progressive Conservative Party",1,0,0
NA,"Elliott Hardey","HARDEY, Elliott",NA,"Progressive Conservative Party",1,0,0
NA,"John Gormley","GORMLEY, John",NA,"Progressive Conservative Party",1,0,0
NA,"Felix Holtmann","HOLTMANN, Felix",NA,"Progressive Conservative Party",1,0,0
NA,"Fernand Jourdenais","JOURDENAIS, Fernand",NA,"Progressive Conservative Party",1,0,0
NA,"Fernand Ladouceur","LADOUCEUR, Fernand",NA,"Progressive Conservative Party",1,0,0
NA,"John Oostrom","OOSTROM, John",NA,"Progressive Conservative Party",1,0,0
NA,"John Reimer","REIMER, John",NA,"Progressive Conservative Party",1,0,0
NA,"Michel Champagne","CHAMPAGNE, Michel",NA,"Progressive Conservative Party",1,0,0
NA,"Guy Ricard","RICARD, Guy",NA,"Progressive Conservative Party",1,0,0
NA,"Marcel Danis","DANIS, Marcel",NA,"Progressive Conservative Party",1,0,0
NA,"Gabrielle Bertrand","BERTRAND, Gabrielle",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Lloyd Wenman","WENMAN, Robert Lloyd",NA,"Progressive Conservative Party",1,0,0
NA,"Moe Mantha","MANTHA, Moe",NA,"Progressive Conservative Party",1,0,0
NA,"Roger Clinch","CLINCH, Roger",NA,"Progressive Conservative Party",1,0,0
NA,"Ross Belsher","BELSHER, Ross",NA,"Progressive Conservative Party",1,0,0
NA,"Geoff Wilson","WILSON, Geoff",NA,"Progressive Conservative Party",1,0,0
NA,"Gerald Comeau","COMEAU, Gerald",NA,"Progressive Conservative Party",1,0,0
NA,"Gerry Merrithew","MERRITHEW, G. S. Gerry",NA,"Progressive Conservative Party",1,0,0
NA,"Lawrence O'neil","O'NEIL, Lawrence I.",NA,"Progressive Conservative Party",1,0,0
NA,"Gerry Weiner","WEINER, Gerry",NA,"Progressive Conservative Party",1,0,0
NA,"Gilles Bernier","BERNIER, Gilles",NA,"Progressive Conservative Party",1,0,0
NA,"Tom Hockin","HOCKIN, Tom",NA,"Progressive Conservative Party",1,0,0
NA,"Steve Paproski","PAPROSKI, Steve",NA,"Progressive Conservative Party",1,0,0
NA,"Nic Leblanc","LEBLANC, Nic",NA,"Progressive Conservative Party",1,0,0
NA,"Stewart Mcinnes","MCINNES, Stewart",NA,"Progressive Conservative Party",1,0,0
NA,"Ted Schellenberg","SCHELLENBERG, Ted",NA,"Progressive Conservative Party",1,0,0
NA,"Terry Clifford","CLIFFORD, Terry",NA,"Progressive Conservative Party",1,0,0
NA,"Lucien Bouchard","BOUCHARD, Lucien",NA,"Progressive Conservative Party",1,0,0
NA,"Jim Kelleher","KELLEHER, Jim",NA,"Progressive Conservative Party",1,0,0
NA,"Michel Gravel","GRAVEL, Michel",NA,"Progressive Conservative Party",1,0,0
NA,"Harry Brightwell","BRIGHTWELL, A.H. Harry",NA,"Progressive Conservative Party",1,0,0
NA,"Lise Bourgault","BOURGAULT, Lise",NA,"Progressive Conservative Party",1,0,0
NA,"Maurice Tremblay","TREMBLAY, Maurice",NA,"Progressive Conservative Party",1,0,0
NA,"Peter Peterson","PETERSON, Peter",NA,"Progressive Conservative Party",1,0,0
NA,"Walter Van De Walle","VAN DE WALLE, Walter",NA,"Progressive Conservative Party",1,0,0
NA,"Michel Cote","COTE, Michel",NA,"Progressive Conservative Party",1,0,0
NA,"Jack Scowen","SCOWEN, Jack",NA,"Progressive Conservative Party",1,0,0
NA,"Pierre Vincent","VINCENT, Pierre H.",NA,"Progressive Conservative Party",1,0,0
NA,"Monique Tardif","TARDIF, Monique B.",NA,"Progressive Conservative Party",1,0,0
NA,"Marc Ferland","FERLAND, Marc",NA,"Progressive Conservative Party",1,0,0
NA,"Pierre Cadieux","CADIEUX, Pierre H.",NA,"Progressive Conservative Party",1,0,0
NA,"Paul Gagnon","GAGNON, Paul",NA,"Progressive Conservative Party",1,0,0
NA,"Paul Mccrossan","MCCROSSAN, W. Paul",NA,"Progressive Conservative Party",1,0,0
NA,"Norm Warner","WARNER, Norm",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Guy Hudon","HUDON, Jean-Guy",NA,"Progressive Conservative Party",1,0,0
NA,"Patrick Boyer","BOYER, Patrick",NA,"Progressive Conservative Party",1,0,0
NA,"Sid Fraleigh","FRALEIGH, Sid",NA,"Progressive Conservative Party",1,0,0
NA,"William Andrew Gottselig","GOTTSELIG, William Andrew",NA,"Progressive Conservative Party",1,0,0
NA,"Patrick Crofton","CROFTON, Patrick",NA,"Progressive Conservative Party",1,0,0
NA,"Patrick George Binns","BINNS, Patrick George",NA,"Progressive Conservative Party",1,0,0
NA,"Pauline Browes","BROWES, Pauline",NA,"Progressive Conservative Party",1,0,0
NA,"Robert Corbett","CORBETT, Robert A.",NA,"Progressive Conservative Party",1,0,0
NA,"Suzanne Blais-Grenier","BLAIS-GRENIER, Suzanne",NA,"Progressive Conservative Party",1,0,0
NA,"Vincent Della Noce","DELLA NOCE, Vincent",NA,"Progressive Conservative Party",1,0,0
NA,"Leo Duguay","DUGUAY, Leo",NA,"Progressive Conservative Party",1,0,0
NA,"Stan Graham","GRAHAM, Stan",NA,"Progressive Conservative Party",1,0,0
NA,"Marcel Tremblay","TREMBLAY, Marcel R.",NA,"Progressive Conservative Party",1,0,0
NA,"Thomas Suluk","SULUK, Thomas",NA,"Progressive Conservative Party",1,0,0
NA,"William Winegard","WINEGARD, William C.",NA,"Progressive Conservative Party",1,0,0
NA,"Monique Vezina","VEZINA, Monique",NA,"Progressive Conservative Party",1,0,0
NA,"Vincent Dantzer","DANTZER, Vincent M.",NA,"Progressive Conservative Party",1,0,0
NA,"Murray Dorin","DORIN, Murray",NA,"Progressive Conservative Party",1,0,0
NA,"Suzanne Duplessis","DUPLESSIS, Suzanne",NA,"Progressive Conservative Party",1,0,0
NA,"Marcel Masse","MASSE, Marcel",NA,"Progressive Conservative Party",1,0,0
NA,"Pierre Blais","BLAIS, Pierre",NA,"Progressive Conservative Party",1,0,0
"MP255","Garth Turner","TURNER, Garth","Garth Turner","Progressive Conservative Party",1,0,0
"MP273","Gilles Duceppe","DUCEPPE, Gilles",NA,"Independent",0,0,0
"MP285","Greg Thompson","THOMPSON, Greg","Greg Thompson","Progressive Conservative Party",1,0,0
"MP339","Jean Lapierre","LAPIERRE, Jean",NA,"Independent",0,0,0
"MP449","Lee Richardson","RICHARDSON, Lee","Lee Richardson","Progressive Conservative Party",1,0,0
"MP66","Bill Casey","CASEY, Bill","Bill Casey","Progressive Conservative Party",1,0,0
NA,"Al Horning","HORNING, Al",NA,"Progressive Conservative Party",1,0,0
NA,"Al Johnson","JOHNSON, Al",NA,"Progressive Conservative Party",1,0,0
NA,"Doug Fee","FEE, Doug",NA,"Progressive Conservative Party",1,0,0
NA,"Allan Koury","KOURY, Allan",NA,"Progressive Conservative Party",1,0,0
NA,"Barbara Greene","GREENE, Barbara",NA,"Progressive Conservative Party",1,0,0
NA,"Benoit Tremblay","TREMBLAY, Benoit",NA,"Progressive Conservative Party",1,0,0
NA,"Ken Monteith","MONTEITH, Ken",NA,"Progressive Conservative Party",1,0,0
NA,"Bill Winegard","WINEGARD, Bill",NA,"Progressive Conservative Party",1,0,0
NA,"Louise Feltham","FELTHAM, Louise",NA,"Progressive Conservative Party",1,0,0
NA,"Brian O'kurley","O'KURLEY, Brian",NA,"Progressive Conservative Party",1,0,0
NA,"Bud Bird","BIRD, J.W. Bud",NA,"Progressive Conservative Party",1,0,0
NA,"Harry Chadwick","CHADWICK, Harry",NA,"Progressive Conservative Party",1,0,0
NA,"Charles Deblois","DEBLOIS, Charles",NA,"Progressive Conservative Party",1,0,0
NA,"Charles Langlois","LANGLOIS, Charles A.",NA,"Progressive Conservative Party",1,0,0
NA,"Michael O'brian","O'BRIAN, Michael",NA,"Progressive Conservative Party",1,0,0
NA,"Jacques Tetreault","TETREAULT, Jacques",NA,"Progressive Conservative Party",1,0,0
NA,"Jacques Vien","VIEN, Jacques",NA,"Progressive Conservative Party",1,0,0
NA,"Clement Couture","COUTURE, Clement",NA,"Progressive Conservative Party",1,0,0
NA,"Dave Worthy","WORTHY, Dave",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Marc Robitaille","ROBITAILLE, Jean-Marc",NA,"Progressive Conservative Party",1,0,0
NA,"Jean-Pierre Hogue","HOGUE, Jean-Pierre",NA,"Progressive Conservative Party",1,0,0
NA,"David Bjornson","BJORNSON, David",NA,"Progressive Conservative Party",1,0,0
NA,"David Macdonald","MACDONALD, David",NA,"Progressive Conservative Party",1,0,0
NA,"Deborah Grey","GREY, Deborah C.",NA,"Reform Party",0,1,1
NA,"Denis Pronovost","PRONOVOST, Denis",NA,"Progressive Conservative Party",1,0,0
NA,"Dorothy Dobbie","DOBBIE, Dorothy",NA,"Progressive Conservative Party",1,0,0
NA,"Rene Soetens","SOETENS, Rene",NA,"Progressive Conservative Party",1,0,0
NA,"Edna Anderson","ANDERSON, Edna",NA,"Progressive Conservative Party",1,0,0
NA,"Gaby Larrivee","LARRIVEE, Gaby",NA,"Progressive Conservative Party",1,0,0
NA,"Marie Gibeau","GIBEAU, Marie",NA,"Progressive Conservative Party",1,0,0
NA,"Ken Hughes","HUGHES, Ken G.",NA,"Progressive Conservative Party",1,0,0
NA,"Ross Stevenson","STEVENSON, Ross",NA,"Progressive Conservative Party",1,0,0
NA,"Larry Schneider","SCHNEIDER, Larry",NA,"Progressive Conservative Party",1,0,0
NA,"Gilles Loiselle","LOISELLE, Gilles",NA,"Progressive Conservative Party",1,0,0
NA,"Gilles Rocheleau","ROCHELEAU, Gilles",NA,"Independent",0,0,0
NA,"Jean Corbeil","CORBEIL, Jean",NA,"Progressive Conservative Party",1,0,0
NA,"Ken Atkinson","ATKINSON, Ken",NA,"Progressive Conservative Party",1,0,0
NA,"Peter Mccreath","MCCREATH, Peter L.",NA,"Progressive Conservative Party",1,0,0
NA,"Pierrette Venne","VENNE, Pierrette",NA,"Progressive Conservative Party",1,0,0
NA,"Scott Thorkelson","THORKELSON, Scott",NA,"Progressive Conservative Party",1,0,0
NA,"John Cole","COLE, John E.",NA,"Progressive Conservative Party",1,0,0
NA,"Nicole Roy-Arcelin","ROY-ARCELIN, Nicole",NA,"Progressive Conservative Party",1,0,0
NA,"John Dahmer","DAHMER, John",NA,"Progressive Conservative Party",1,0,0
NA,"Pat Sobeski","SOBESKI, Pat",NA,"Progressive Conservative Party",1,0,0
NA,"Stan Wilbee","WILBEE, Stan",NA,"Progressive Conservative Party",1,0,0
NA,"Ross Reid","REID, Ross",NA,"Progressive Conservative Party",1,0,0
NA,"Yvon Cote","COTE, Yvon",NA,"Progressive Conservative Party",1,0,0
NA,"Kim Campbell","CAMPBELL, Kim",NA,"Progressive Conservative Party",1,0,0
NA,"Willie Littlechild","LITTLECHILD, Willie",NA,"Progressive Conservative Party",1,0,0
"MP139","Chuck Strahl","STRAHL, Chuck","Chuck Strahl","Reform Party",0,1,1
"MP201","Diane Ablonczy","ABLONCZY, Diane","Diane Ablonczy","Reform Party",0,1,1
"MP207","Dick Harris","HARRIS, Dick","Dick Harris","Reform Party",0,1,1
"MP254","Garry Breitkreuz","BREITKREUZ, Garry","Garry Breitkreuz","Reform Party",0,1,1
"MP328","Jay Hill","HILL, Jay","Jay Hill","Reform Party",0,1,1
"MP348","Jim Abbott","ABBOTT, Jim","Jim Abbott","Reform Party",0,1,1
"MP377","John Cummins","CUMMINS, John","John Cummins","Reform Party",0,1,1
"MP378","John Duncan","DUNCAN, John","John Duncan","Reform Party",0,1,1
"MP387","John Williams","WILLIAMS, John","John Williams","Reform Party",0,1,1
"MP415","Keith Martin","MARTIN, Keith",NA,"Reform Party",0,1,1
"MP421","Ken Epp","EPP, Ken","Ken Epp","Reform Party",0,1,1
"MP452","Leon Benoit","BENOIT, Leon E.","Leon Benoit","Reform Party",0,1,1
"MP48","Art Hanger","HANGER, Art","Art Hanger","Reform Party",0,1,1
"MP566","Monte Solberg","SOLBERG, Monte","Monte Solberg","Reform Party",1,1,1
"MP570","Myron Thompson","THOMPSON, Myron","Myron Thompson","Reform Party",0,1,1
"MP751","Stephen Harper","HARPER, Stephen","Stephen Harper","Reform Party",0,1,0
